storm_id,kind,key,value,unit,event_date,scope,quote,source_title,source_url,source_local,accessed,note
2007-08-18,reversal,wilmette_mg,224.0,MG,2007-08-23/2007-08-24,event,"2007 8/23-8/24 224.0 224.0","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Wilmette only; no O'Brien or CRCW volume in MWRD's table for this date
2007-08-18,reversal,total_mg,224.0,MG,2007-08-23/2007-08-24,event,"2007 8/23-8/24 224.0 224.0","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Reversal date falls inside the storm window (2007-08-18..2007-08-25) but 5 days after the window opens
2008-09-12,reversal,obrien_mg,2669.2,MG,2008-09-13/2008-09-16,event,"2008 9/13-9/16 2669.2 5438.2 2941.7 11,049.1","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2008-09-12,reversal,crcw_mg,5438.2,MG,2008-09-13/2008-09-16,event,"2008 9/13-9/16 2669.2 5438.2 2941.7 11,049.1","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2008-09-12,reversal,wilmette_mg,2941.7,MG,2008-09-13/2008-09-16,event,"2008 9/13-9/16 2669.2 5438.2 2941.7 11,049.1","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2008-09-12,reversal,total_mg,11049.1,MG,2008-09-13/2008-09-16,event,"2008 9/13-9/16 2669.2 5438.2 2941.7 11,049.1","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Largest reversal in the 1985-2025 record; all three lakefront structures opened
2009-06-16,reversal,wilmette_mg,191.6,MG,2009-06-19,event,"2009 6/19 191.6 191.6","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2009-06-16,reversal,total_mg,191.6,MG,2009-06-19,event,"2009 6/19 191.6 191.6","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Wilmette only
2010-07-23,reversal,crcw_mg,5784.6,MG,2010-07-24,event,"2010 7/24 5784.6 750.3 6,534.9","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2010-07-23,reversal,wilmette_mg,750.3,MG,2010-07-24,event,"2010 7/24 5784.6 750.3 6,534.9","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2010-07-23,reversal,total_mg,6534.9,MG,2010-07-24,event,"2010 7/24 5784.6 750.3 6,534.9","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Third-largest reversal in the record; no O'Brien Lock volume
2011-05-22,reversal,wilmette_mg,107.0,MG,2011-05-29,event,"2011 5/29 107.0 107.0","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2011-05-22,reversal,total_mg,107.0,MG,2011-05-29,event,"2011 5/29 107.0 107.0","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Wilmette only; last day of an eight-day storm window
2011-07-22,reversal,crcw_mg,1716.2,MG,2011-07-23,event,"2011 7/23 1716.2 504.3 2,220.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2011-07-22,reversal,wilmette_mg,504.3,MG,2011-07-23,event,"2011 7/23 1716.2 504.3 2,220.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2011-07-22,reversal,total_mg,2220.5,MG,2011-07-23,event,"2011 7/23 1716.2 504.3 2,220.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,No O'Brien Lock volume
2013-04-15,reversal,obrien_mg,3185.6,MG,2013-04-18/2013-04-19,event,"2013 4/18-4/19 3185.6 6104.7 1429.2 10,719.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2013-04-15,reversal,crcw_mg,6104.7,MG,2013-04-18/2013-04-19,event,"2013 4/18-4/19 3185.6 6104.7 1429.2 10,719.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2013-04-15,reversal,wilmette_mg,1429.2,MG,2013-04-18/2013-04-19,event,"2013 4/18-4/19 3185.6 6104.7 1429.2 10,719.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
2013-04-15,reversal,total_mg,10719.5,MG,2013-04-18/2013-04-19,event,"2013 4/18-4/19 3185.6 6104.7 1429.2 10,719.5","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,Second-largest reversal in the record; all three structures opened. 4/19 is one day past the storm window's end
2014-08-21,reversal,total_mg,0,MG,,event,"2014 6/30-7/1 362.0 163.0 525.0","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,"True negative: MWRD's table lists exactly one 2014 event (6/30-7/1), none in the 2014-08-21..08-25 window. The quote is that unrelated June event, shown to demonstrate 2014 is present in the table and the storm window is genuinely empty rather than missing"
2017-10-14,reversal,crcw_mg,2456.4,MG,2017-10-14/2017-10-15,event,"2017 10/14-10/15 2456.4 289.8 2,746.2","Reversals to Lake Michigan (1985 - Present), January 2026 update",https://mwrd.org/sites/default/files/2026-02/Reversals_2026_02_03.pdf,sources/mwrd-mr-reports/2026-reversals-to-lake-michigan-1985-present-january-2026.pdf,2026-09-23,
